"","Year","Month","Police.District.Name","num"
"307","2018","12","BETHESDA",496
"308","2019","12","MONTGOMERY VILLAGE",494
"309","2022","06","WHEATON",494
"310","2018","08","BETHESDA",492
"311","2017","10","ROCKVILLE",491
"312","2019","12","BETHESDA",491
"313","2022","01","BETHESDA",490
"314","2022","11","MONTGOMERY VILLAGE",490
"315","2017","09","BETHESDA",489
"316","2017","11","ROCKVILLE",489
"317","2020","07","WHEATON",489
"318","2024","06","MONTGOMERY VILLAGE",488
"319","2024","12","BETHESDA",486
"320","2017","01","BETHESDA",485
"321","2017","07","BETHESDA",485
"322","2023","02","MONTGOMERY VILLAGE",485
"323","2021","05","WHEATON",484
"324","2021","11","WHEATON",484
"325","2025","05","BETHESDA",484
"326","2025","05","WHEATON",484
"327","2022","05","MONTGOMERY VILLAGE",483
"328","2025","03","BETHESDA",483
"329","2018","11","BETHESDA",482
"330","2024","03","BETHESDA",482
"331","2022","07","WHEATON",480
"332","2024","11","MONTGOMERY VILLAGE",480
"333","2017","05","BETHESDA",479
"334","2019","11","BETHESDA",479
"335","2022","04","WHEATON",479
"336","2022","06","BETHESDA",478
"337","2025","01","WHEATON",478
"338","2017","12","ROCKVILLE",477
"339","2021","12","MONTGOMERY VILLAGE",477
"340","2025","04","WHEATON",477
"341","2021","09","WHEATON",476
"342","2023","04","MONTGOMERY VILLAGE",476
"343","2018","06","BETHESDA",475
"344","2019","01","MONTGOMERY VILLAGE",475
"345","2023","01","BETHESDA",475
"346","2021","08","MONTGOMERY VILLAGE",474
"347","2016","08","GERMANTOWN",473
"348","2017","07","GERMANTOWN",473
"349","2019","08","ROCKVILLE",473
"350","2024","07","BETHESDA",473
"351","2021","03","MONTGOMERY VILLAGE",472
"352","2018","09","GERMANTOWN",470
"353","2022","05","WHEATON",469
"354","2024","04","MONTGOMERY VILLAGE",469
"355","2016","10","BETHESDA",468
"356","2022","01","MONTGOMERY VILLAGE",467
"357","2018","11","GERMANTOWN",466
"358","2019","07","ROCKVILLE",466
"359","2020","08","WHEATON",466
"360","2025","06","MONTGOMERY VILLAGE",466
"361","2017","06","GERMANTOWN",465
"362","2018","08","ROCKVILLE",465
"363","2021","06","MONTGOMERY VILLAGE",465
"364","2025","01","BETHESDA",465
"365","2017","03","ROCKVILLE",464
"366","2017","08","GERMANTOWN",464
"367","2021","01","MONTGOMERY VILLAGE",464
"368","2025","02","WHEATON",464
"369","2025","06","WHEATON",464
"370","2018","08","GERMANTOWN",463
"371","2021","07","MONTGOMERY VILLAGE",463
"372","2022","04","BETHESDA",463
"373","2019","01","BETHESDA",462
"374","2021","10","GERMANTOWN",462
"375","2017","05","GERMANTOWN",461
"376","2022","04","MONTGOMERY VILLAGE",461
"377","2025","02","BETHESDA",461
"378","2018","12","GERMANTOWN",460
"379","2021","05","MONTGOMERY VILLAGE",460
"380","2023","08","BETHESDA",460
"381","2017","01","GERMANTOWN",459
