"","JURISDICTION","YEAR","CRIME","NUMBER"
"281","Frederick County",1977,"MURDER",4
"282","Frederick County",1977,"RAPE",18
"283","Frederick County",1978,"MURDER",4
"284","Frederick County",1978,"RAPE",17
"285","Frederick County",1979,"MURDER",4
"286","Frederick County",1979,"RAPE",20
"287","Frederick County",1980,"MURDER",2
"288","Frederick County",1980,"RAPE",12
"289","Frederick County",1981,"MURDER",4
"290","Frederick County",1981,"RAPE",15
"291","Frederick County",1982,"MURDER",1
"292","Frederick County",1982,"RAPE",24
"293","Frederick County",1983,"MURDER",5
"294","Frederick County",1983,"RAPE",14
"295","Frederick County",1984,"MURDER",6
"296","Frederick County",1984,"RAPE",20
"297","Frederick County",1985,"MURDER",3
"298","Frederick County",1985,"RAPE",23
"299","Frederick County",1986,"MURDER",2
"300","Frederick County",1986,"RAPE",29
"301","Frederick County",1987,"MURDER",1
"302","Frederick County",1987,"RAPE",32
"303","Frederick County",1988,"MURDER",6
"304","Frederick County",1988,"RAPE",25
"305","Frederick County",1989,"MURDER",5
"306","Frederick County",1989,"RAPE",33
"307","Frederick County",1990,"MURDER",5
"308","Frederick County",1990,"RAPE",35
"309","Frederick County",1991,"MURDER",2
"310","Frederick County",1991,"RAPE",39
"311","Frederick County",1992,"MURDER",3
"312","Frederick County",1992,"RAPE",57
"313","Frederick County",1993,"MURDER",4
"314","Frederick County",1993,"RAPE",48
"315","Frederick County",1994,"MURDER",10
"316","Frederick County",1994,"RAPE",39
"317","Frederick County",1995,"MURDER",4
"318","Frederick County",1995,"RAPE",40
"319","Frederick County",1996,"MURDER",4
"320","Frederick County",1996,"RAPE",42
"321","Frederick County",1997,"MURDER",2
"322","Frederick County",1997,"RAPE",46
"323","Frederick County",1998,"MURDER",1
"324","Frederick County",1998,"RAPE",48
"325","Frederick County",1999,"MURDER",1
"326","Frederick County",1999,"RAPE",49
"327","Frederick County",2000,"MURDER",6
"328","Frederick County",2000,"RAPE",51
"329","Frederick County",2001,"MURDER",1
"330","Frederick County",2001,"RAPE",49
"331","Frederick County",2002,"MURDER",5
"332","Frederick County",2002,"RAPE",50
"333","Frederick County",2003,"MURDER",5
"334","Frederick County",2003,"RAPE",42
"335","Frederick County",2004,"MURDER",1
"336","Frederick County",2004,"RAPE",39
"337","Frederick County",2005,"MURDER",1
"338","Frederick County",2005,"RAPE",30
"339","Frederick County",2006,"MURDER",9
"340","Frederick County",2006,"RAPE",35
"341","Frederick County",2007,"MURDER",7
"342","Frederick County",2007,"RAPE",35
"343","Frederick County",2008,"MURDER",4
"344","Frederick County",2008,"RAPE",23
"345","Frederick County",2009,"MURDER",9
"346","Frederick County",2009,"RAPE",33
"347","Frederick County",2010,"MURDER",3
"348","Frederick County",2010,"RAPE",34
"349","Frederick County",2011,"MURDER",3
"350","Frederick County",2011,"RAPE",31
"351","Frederick County",2012,"MURDER",1
"352","Frederick County",2012,"RAPE",50
"353","Frederick County",2013,"MURDER",5
"354","Frederick County",2013,"RAPE",18
"355","Frederick County",2014,"MURDER",4
"356","Frederick County",2014,"RAPE",41
"357","Frederick County",2015,"MURDER",7
"358","Frederick County",2015,"RAPE",34
"359","Frederick County",2016,"MURDER",2
"360","Frederick County",2016,"RAPE",39
"361","Frederick County",2017,"MURDER",5
"362","Frederick County",2017,"RAPE",47
"363","Frederick County",2018,"MURDER",3
"364","Frederick County",2018,"RAPE",57
"365","Frederick County",2019,"MURDER",3
"366","Frederick County",2019,"RAPE",61
"367","Frederick County",2020,"MURDER",9
"368","Frederick County",2020,"RAPE",41
"369","Montgomery County",1975,"MURDER",21
"370","Montgomery County",1975,"RAPE",92
"371","Montgomery County",1976,"MURDER",28
"372","Montgomery County",1976,"RAPE",96
"373","Montgomery County",1977,"MURDER",15
"374","Montgomery County",1977,"RAPE",120
"375","Montgomery County",1978,"MURDER",12
"376","Montgomery County",1978,"RAPE",122
"377","Montgomery County",1979,"MURDER",17
"378","Montgomery County",1979,"RAPE",137
"379","Montgomery County",1980,"MURDER",17
"380","Montgomery County",1980,"RAPE",151
"381","Montgomery County",1981,"MURDER",13
"382","Montgomery County",1981,"RAPE",167
"383","Montgomery County",1982,"MURDER",20
"384","Montgomery County",1982,"RAPE",173
"385","Montgomery County",1983,"MURDER",16
"386","Montgomery County",1983,"RAPE",132
"387","Montgomery County",1984,"MURDER",14
"388","Montgomery County",1984,"RAPE",146
"389","Montgomery County",1985,"MURDER",12
"390","Montgomery County",1985,"RAPE",127
"391","Montgomery County",1986,"MURDER",8
"392","Montgomery County",1986,"RAPE",145
"393","Montgomery County",1987,"MURDER",17
"394","Montgomery County",1987,"RAPE",173
"395","Montgomery County",1988,"MURDER",19
"396","Montgomery County",1988,"RAPE",184
"397","Montgomery County",1989,"MURDER",21
"398","Montgomery County",1989,"RAPE",200
"399","Montgomery County",1990,"MURDER",25
"400","Montgomery County",1990,"RAPE",204
"401","Montgomery County",1991,"MURDER",26
"402","Montgomery County",1991,"RAPE",220
"403","Montgomery County",1992,"MURDER",21
"404","Montgomery County",1992,"RAPE",189
"405","Montgomery County",1993,"MURDER",30
"406","Montgomery County",1993,"RAPE",212
"407","Montgomery County",1994,"MURDER",34
"408","Montgomery County",1994,"RAPE",199
"409","Montgomery County",1995,"MURDER",21
"410","Montgomery County",1995,"RAPE",222
"411","Montgomery County",1996,"MURDER",13
"412","Montgomery County",1996,"RAPE",160
"413","Montgomery County",1997,"MURDER",23
"414","Montgomery County",1997,"RAPE",189
"415","Montgomery County",1998,"MURDER",13
"416","Montgomery County",1998,"RAPE",167
"417","Montgomery County",1999,"MURDER",13
"418","Montgomery County",1999,"RAPE",136
"419","Montgomery County",2000,"MURDER",12
"420","Montgomery County",2000,"RAPE",177
"421","Montgomery County",2001,"MURDER",19
"422","Montgomery County",2001,"RAPE",146
"423","Montgomery County",2002,"MURDER",32
"424","Montgomery County",2002,"RAPE",145
"425","Montgomery County",2003,"MURDER",23
"426","Montgomery County",2003,"RAPE",148
"427","Montgomery County",2004,"MURDER",18
"428","Montgomery County",2004,"RAPE",149
"429","Montgomery County",2005,"MURDER",21
"430","Montgomery County",2005,"RAPE",157
"431","Montgomery County",2006,"MURDER",19
"432","Montgomery County",2006,"RAPE",145
"433","Montgomery County",2007,"MURDER",20
"434","Montgomery County",2007,"RAPE",133
"435","Montgomery County",2008,"MURDER",21
"436","Montgomery County",2008,"RAPE",136
"437","Montgomery County",2009,"MURDER",13
"438","Montgomery County",2009,"RAPE",130
"439","Montgomery County",2010,"MURDER",16
"440","Montgomery County",2010,"RAPE",123
"441","Montgomery County",2011,"MURDER",15
"442","Montgomery County",2011,"RAPE",115
"443","Montgomery County",2012,"MURDER",14
"444","Montgomery County",2012,"RAPE",106
"445","Montgomery County",2013,"MURDER",9
"446","Montgomery County",2013,"RAPE",135
"447","Montgomery County",2014,"MURDER",18
"448","Montgomery County",2014,"RAPE",125
"449","Montgomery County",2015,"MURDER",29
"450","Montgomery County",2015,"RAPE",275
"451","Montgomery County",2016,"MURDER",15
"452","Montgomery County",2016,"RAPE",338
"453","Montgomery County",2017,"MURDER",26
"454","Montgomery County",2017,"RAPE",319
"455","Montgomery County",2018,"MURDER",20
"456","Montgomery County",2018,"RAPE",421
"457","Montgomery County",2019,"MURDER",14
"458","Montgomery County",2019,"RAPE",388
"459","Montgomery County",2020,"MURDER",18
"460","Montgomery County",2020,"RAPE",370
"461","Prince George's County",1975,"MURDER",52
"462","Prince George's County",1975,"RAPE",288
"463","Prince George's County",1976,"MURDER",38
"464","Prince George's County",1976,"RAPE",308
"465","Prince George's County",1977,"MURDER",54
"466","Prince George's County",1977,"RAPE",297
"467","Prince George's County",1978,"MURDER",37
"468","Prince George's County",1978,"RAPE",349
"469","Prince George's County",1979,"MURDER",51
"470","Prince George's County",1979,"RAPE",393
"471","Prince George's County",1980,"MURDER",56
"472","Prince George's County",1980,"RAPE",427
"473","Prince George's County",1981,"MURDER",61
"474","Prince George's County",1981,"RAPE",410
"475","Prince George's County",1982,"MURDER",76
"476","Prince George's County",1982,"RAPE",375
"477","Prince George's County",1983,"MURDER",58
"478","Prince George's County",1983,"RAPE",341
"479","Prince George's County",1984,"MURDER",42
"480","Prince George's County",1984,"RAPE",397
"481","Prince George's County",1985,"MURDER",47
