"","JURISDICTION","YEAR","CRIME","NUMBER"
"249","Baltimore City",1991,"ROBBERY",10793
"250","Baltimore City",1991,"AGGRAVATED ASSAULT",7295
"251","Baltimore City",1991,"BREAKING & ENTERING",16394
"252","Baltimore City",1991,"MOTOR VEHICLE THEFT",10618
"253","Baltimore City",1992,"ROBBERY",12290
"254","Baltimore City",1992,"AGGRAVATED ASSAULT",8481
"255","Baltimore City",1992,"BREAKING & ENTERING",16503
"256","Baltimore City",1992,"MOTOR VEHICLE THEFT",11332
"257","Baltimore City",1993,"ROBBERY",12408
"258","Baltimore City",1993,"AGGRAVATED ASSAULT",8577
"259","Baltimore City",1993,"BREAKING & ENTERING",18076
"260","Baltimore City",1993,"MOTOR VEHICLE THEFT",10672
"261","Baltimore City",1994,"ROBBERY",11303
"262","Baltimore City",1994,"AGGRAVATED ASSAULT",8748
"263","Baltimore City",1994,"BREAKING & ENTERING",16026
"264","Baltimore City",1994,"MOTOR VEHICLE THEFT",13603
"265","Baltimore City",1995,"ROBBERY",11397
"266","Baltimore City",1995,"AGGRAVATED ASSAULT",9172
"267","Baltimore City",1995,"BREAKING & ENTERING",16705
"268","Baltimore City",1995,"MOTOR VEHICLE THEFT",11210
"269","Baltimore City",1996,"ROBBERY",10429
"270","Baltimore City",1996,"AGGRAVATED ASSAULT",8216
"271","Baltimore City",1996,"BREAKING & ENTERING",14887
"272","Baltimore City",1996,"MOTOR VEHICLE THEFT",11186
"273","Baltimore City",1997,"ROBBERY",8665
"274","Baltimore City",1997,"AGGRAVATED ASSAULT",8072
"275","Baltimore City",1997,"BREAKING & ENTERING",12841
"276","Baltimore City",1997,"MOTOR VEHICLE THEFT",8856
"277","Baltimore City",1998,"ROBBERY",7718
"278","Baltimore City",1998,"AGGRAVATED ASSAULT",7605
"279","Baltimore City",1998,"BREAKING & ENTERING",13279
"280","Baltimore City",1998,"MOTOR VEHICLE THEFT",7375
"281","Baltimore City",1999,"ROBBERY",7462
"282","Baltimore City",1999,"AGGRAVATED ASSAULT",10536
"283","Baltimore City",1999,"BREAKING & ENTERING",12386
"284","Baltimore City",1999,"MOTOR VEHICLE THEFT",7255
"285","Baltimore City",2000,"ROBBERY",6634
"286","Baltimore City",2000,"AGGRAVATED ASSAULT",8774
"287","Baltimore City",2000,"BREAKING & ENTERING",10751
"288","Baltimore City",2000,"MOTOR VEHICLE THEFT",7871
"289","Baltimore City",2001,"ROBBERY",5762
"290","Baltimore City",2001,"AGGRAVATED ASSAULT",8520
"291","Baltimore City",2001,"BREAKING & ENTERING",10960
"292","Baltimore City",2001,"MOTOR VEHICLE THEFT",8199
"293","Baltimore City",2002,"ROBBERY",4764
"294","Baltimore City",2002,"AGGRAVATED ASSAULT",8667
"295","Baltimore City",2002,"BREAKING & ENTERING",8814
"296","Baltimore City",2002,"MOTOR VEHICLE THEFT",6572
"297","Baltimore City",2003,"ROBBERY",4364
"298","Baltimore City",2003,"AGGRAVATED ASSAULT",6385
"299","Baltimore City",2003,"BREAKING & ENTERING",7855
"300","Baltimore City",2003,"MOTOR VEHICLE THEFT",6874
"301","Baltimore City",2004,"ROBBERY",4085
"302","Baltimore City",2004,"AGGRAVATED ASSAULT",7199
"303","Baltimore City",2004,"BREAKING & ENTERING",8022
"304","Baltimore City",2004,"MOTOR VEHICLE THEFT",6731
"305","Baltimore City",2005,"ROBBERY",3935
"306","Baltimore City",2005,"AGGRAVATED ASSAULT",6943
"307","Baltimore City",2005,"BREAKING & ENTERING",7388
"308","Baltimore City",2005,"MOTOR VEHICLE THEFT",6232
"309","Baltimore City",2006,"ROBBERY",4260
"310","Baltimore City",2006,"AGGRAVATED ASSAULT",6196
"311","Baltimore City",2006,"BREAKING & ENTERING",7664
"312","Baltimore City",2006,"MOTOR VEHICLE THEFT",6276
"313","Baltimore City",2007,"ROBBERY",3926
"314","Baltimore City",2007,"AGGRAVATED ASSAULT",5875
"315","Baltimore City",2007,"BREAKING & ENTERING",7431
"316","Baltimore City",2007,"MOTOR VEHICLE THEFT",5821
"317","Baltimore City",2008,"ROBBERY",4058
"318","Baltimore City",2008,"AGGRAVATED ASSAULT",5703
"319","Baltimore City",2008,"BREAKING & ENTERING",7880
"320","Baltimore City",2008,"MOTOR VEHICLE THEFT",5518
"321","Baltimore City",2009,"ROBBERY",3726
"322","Baltimore City",2009,"AGGRAVATED ASSAULT",5579
"323","Baltimore City",2009,"BREAKING & ENTERING",7856
"324","Baltimore City",2009,"MOTOR VEHICLE THEFT",4632
"325","Baltimore City",2010,"ROBBERY",3361
"326","Baltimore City",2010,"AGGRAVATED ASSAULT",5502
"327","Baltimore City",2010,"BREAKING & ENTERING",7646
"328","Baltimore City",2010,"MOTOR VEHICLE THEFT",4421
"329","Baltimore City",2011,"ROBBERY",3485
"330","Baltimore City",2011,"AGGRAVATED ASSAULT",4905
"331","Baltimore City",2011,"BREAKING & ENTERING",8649
"332","Baltimore City",2011,"MOTOR VEHICLE THEFT",4207
"333","Baltimore City",2012,"ROBBERY",3635
"334","Baltimore City",2012,"AGGRAVATED ASSAULT",4657
"335","Baltimore City",2012,"BREAKING & ENTERING",7796
"336","Baltimore City",2012,"MOTOR VEHICLE THEFT",3987
"337","Baltimore City",2013,"ROBBERY",3755
"338","Baltimore City",2013,"AGGRAVATED ASSAULT",4471
"339","Baltimore City",2013,"BREAKING & ENTERING",7440
"340","Baltimore City",2013,"MOTOR VEHICLE THEFT",4462
"341","Baltimore City",2014,"ROBBERY",3740
"342","Baltimore City",2014,"AGGRAVATED ASSAULT",4236
"343","Baltimore City",2014,"BREAKING & ENTERING",6966
"344","Baltimore City",2014,"MOTOR VEHICLE THEFT",4504
"345","Baltimore City",2015,"ROBBERY",4378
"346","Baltimore City",2015,"AGGRAVATED ASSAULT",4671
"347","Baltimore City",2015,"BREAKING & ENTERING",7803
"348","Baltimore City",2015,"MOTOR VEHICLE THEFT",5541
"349","Baltimore City",2016,"ROBBERY",5288
"350","Baltimore City",2016,"AGGRAVATED ASSAULT",5210
"351","Baltimore City",2016,"BREAKING & ENTERING",7399
"352","Baltimore City",2016,"MOTOR VEHICLE THEFT",5336
"353","Baltimore City",2017,"ROBBERY",5926
"354","Baltimore City",2017,"AGGRAVATED ASSAULT",5874
"355","Baltimore City",2017,"BREAKING & ENTERING",8056
"356","Baltimore City",2017,"MOTOR VEHICLE THEFT",5184
"357","Baltimore City",2018,"ROBBERY",5130
"358","Baltimore City",2018,"AGGRAVATED ASSAULT",5415
"359","Baltimore City",2018,"BREAKING & ENTERING",6074
"360","Baltimore City",2018,"MOTOR VEHICLE THEFT",4389
"361","Baltimore City",2019,"ROBBERY",4903
"362","Baltimore City",2019,"AGGRAVATED ASSAULT",5610
"363","Baltimore City",2019,"BREAKING & ENTERING",5434
"364","Baltimore City",2019,"MOTOR VEHICLE THEFT",3949
"365","Baltimore City",2020,"ROBBERY",3441
"366","Baltimore City",2020,"AGGRAVATED ASSAULT",5381
"367","Baltimore City",2020,"BREAKING & ENTERING",4116
"368","Baltimore City",2020,"MOTOR VEHICLE THEFT",3128
"369","Baltimore County",1975,"ROBBERY",787
"370","Baltimore County",1975,"AGGRAVATED ASSAULT",503
"371","Baltimore County",1975,"BREAKING & ENTERING",8312
"372","Baltimore County",1975,"MOTOR VEHICLE THEFT",2992
"373","Baltimore County",1976,"ROBBERY",730
"374","Baltimore County",1976,"AGGRAVATED ASSAULT",1095
"375","Baltimore County",1976,"BREAKING & ENTERING",8205
"376","Baltimore County",1976,"MOTOR VEHICLE THEFT",2834
"377","Baltimore County",1977,"ROBBERY",751
"378","Baltimore County",1977,"AGGRAVATED ASSAULT",3229
"379","Baltimore County",1977,"BREAKING & ENTERING",8868
"380","Baltimore County",1977,"MOTOR VEHICLE THEFT",2892
"381","Baltimore County",1978,"ROBBERY",846
"382","Baltimore County",1978,"AGGRAVATED ASSAULT",3755
"383","Baltimore County",1978,"BREAKING & ENTERING",9001
"384","Baltimore County",1978,"MOTOR VEHICLE THEFT",2720
"385","Baltimore County",1979,"ROBBERY",1085
"386","Baltimore County",1979,"AGGRAVATED ASSAULT",3945
"387","Baltimore County",1979,"BREAKING & ENTERING",10138
"388","Baltimore County",1979,"MOTOR VEHICLE THEFT",3306
"389","Baltimore County",1980,"ROBBERY",1223
"390","Baltimore County",1980,"AGGRAVATED ASSAULT",4456
"391","Baltimore County",1980,"BREAKING & ENTERING",11793
"392","Baltimore County",1980,"MOTOR VEHICLE THEFT",3287
"393","Baltimore County",1981,"ROBBERY",1401
"394","Baltimore County",1981,"AGGRAVATED ASSAULT",4580
"395","Baltimore County",1981,"BREAKING & ENTERING",11964
"396","Baltimore County",1981,"MOTOR VEHICLE THEFT",3203
"397","Baltimore County",1982,"ROBBERY",1242
"398","Baltimore County",1982,"AGGRAVATED ASSAULT",5155
"399","Baltimore County",1982,"BREAKING & ENTERING",9981
"400","Baltimore County",1982,"MOTOR VEHICLE THEFT",2941
"401","Baltimore County",1983,"ROBBERY",1272
"402","Baltimore County",1983,"AGGRAVATED ASSAULT",4627
"403","Baltimore County",1983,"BREAKING & ENTERING",8923
"404","Baltimore County",1983,"MOTOR VEHICLE THEFT",2774
"405","Baltimore County",1984,"ROBBERY",1087
"406","Baltimore County",1984,"AGGRAVATED ASSAULT",4900
"407","Baltimore County",1984,"BREAKING & ENTERING",8727
"408","Baltimore County",1984,"MOTOR VEHICLE THEFT",2775
"409","Baltimore County",1985,"ROBBERY",1092
"410","Baltimore County",1985,"AGGRAVATED ASSAULT",5592
"411","Baltimore County",1985,"BREAKING & ENTERING",8617
"412","Baltimore County",1985,"MOTOR VEHICLE THEFT",3064
"413","Baltimore County",1986,"ROBBERY",1394
"414","Baltimore County",1986,"AGGRAVATED ASSAULT",5289
"415","Baltimore County",1986,"BREAKING & ENTERING",9612
"416","Baltimore County",1986,"MOTOR VEHICLE THEFT",3691
"417","Baltimore County",1987,"ROBBERY",1419
"418","Baltimore County",1987,"AGGRAVATED ASSAULT",3995
"419","Baltimore County",1987,"BREAKING & ENTERING",8490
"420","Baltimore County",1987,"MOTOR VEHICLE THEFT",3863
"421","Baltimore County",1988,"ROBBERY",1661
"422","Baltimore County",1988,"AGGRAVATED ASSAULT",4714
"423","Baltimore County",1988,"BREAKING & ENTERING",8703
"424","Baltimore County",1988,"MOTOR VEHICLE THEFT",4606
"425","Baltimore County",1989,"ROBBERY",1810
"426","Baltimore County",1989,"AGGRAVATED ASSAULT",5240
"427","Baltimore County",1989,"BREAKING & ENTERING",8468
"428","Baltimore County",1989,"MOTOR VEHICLE THEFT",4480
"429","Baltimore County",1990,"ROBBERY",1709
"430","Baltimore County",1990,"AGGRAVATED ASSAULT",5000
"431","Baltimore County",1990,"BREAKING & ENTERING",7996
"432","Baltimore County",1990,"MOTOR VEHICLE THEFT",5098
"433","Baltimore County",1991,"ROBBERY",2151
"434","Baltimore County",1991,"AGGRAVATED ASSAULT",5221
"435","Baltimore County",1991,"BREAKING & ENTERING",8308
"436","Baltimore County",1991,"MOTOR VEHICLE THEFT",5913
"437","Baltimore County",1992,"ROBBERY",2307
"438","Baltimore County",1992,"AGGRAVATED ASSAULT",5090
"439","Baltimore County",1992,"BREAKING & ENTERING",8322
"440","Baltimore County",1992,"MOTOR VEHICLE THEFT",5619
"441","Baltimore County",1993,"ROBBERY",2311
"442","Baltimore County",1993,"AGGRAVATED ASSAULT",4864
"443","Baltimore County",1993,"BREAKING & ENTERING",8050
"444","Baltimore County",1993,"MOTOR VEHICLE THEFT",5477
"445","Baltimore County",1994,"ROBBERY",2180
"446","Baltimore County",1994,"AGGRAVATED ASSAULT",4761
"447","Baltimore County",1994,"BREAKING & ENTERING",7353
"448","Baltimore County",1994,"MOTOR VEHICLE THEFT",6289
"449","Baltimore County",1995,"ROBBERY",2473
"450","Baltimore County",1995,"AGGRAVATED ASSAULT",4935
"451","Baltimore County",1995,"BREAKING & ENTERING",7637
"452","Baltimore County",1995,"MOTOR VEHICLE THEFT",5406
"453","Baltimore County",1996,"ROBBERY",2427
"454","Baltimore County",1996,"AGGRAVATED ASSAULT",4690
"455","Baltimore County",1996,"BREAKING & ENTERING",6972
"456","Baltimore County",1996,"MOTOR VEHICLE THEFT",4751
"457","Baltimore County",1997,"ROBBERY",2482
"458","Baltimore County",1997,"AGGRAVATED ASSAULT",4572
"459","Baltimore County",1997,"BREAKING & ENTERING",7266
"460","Baltimore County",1997,"MOTOR VEHICLE THEFT",4185
"461","Baltimore County",1998,"ROBBERY",1878
