"","JURISDICTION","YEAR","CRIME","NUMBER"
"950","Prince George's County",1982,"AGGRAVATED ASSAULT",2257
"951","Prince George's County",1982,"BREAKING & ENTERING",12622
"952","Prince George's County",1982,"MOTOR VEHICLE THEFT",4587
"953","Prince George's County",1983,"ROBBERY",2742
"954","Prince George's County",1983,"AGGRAVATED ASSAULT",2305
"955","Prince George's County",1983,"BREAKING & ENTERING",10323
"956","Prince George's County",1983,"MOTOR VEHICLE THEFT",4321
"957","Prince George's County",1984,"ROBBERY",2400
"958","Prince George's County",1984,"AGGRAVATED ASSAULT",2576
"959","Prince George's County",1984,"BREAKING & ENTERING",9784
"960","Prince George's County",1984,"MOTOR VEHICLE THEFT",4574
"961","Prince George's County",1985,"ROBBERY",2567
"962","Prince George's County",1985,"AGGRAVATED ASSAULT",2944
"963","Prince George's County",1985,"BREAKING & ENTERING",10156
"964","Prince George's County",1985,"MOTOR VEHICLE THEFT",5920
"965","Prince George's County",1986,"ROBBERY",2441
"966","Prince George's County",1986,"AGGRAVATED ASSAULT",3329
"967","Prince George's County",1986,"BREAKING & ENTERING",10028
"968","Prince George's County",1986,"MOTOR VEHICLE THEFT",7324
"969","Prince George's County",1987,"ROBBERY",2574
"970","Prince George's County",1987,"AGGRAVATED ASSAULT",3444
"971","Prince George's County",1987,"BREAKING & ENTERING",10065
"972","Prince George's County",1987,"MOTOR VEHICLE THEFT",7921
"973","Prince George's County",1988,"ROBBERY",2856
"974","Prince George's County",1988,"AGGRAVATED ASSAULT",3532
"975","Prince George's County",1988,"BREAKING & ENTERING",10190
"976","Prince George's County",1988,"MOTOR VEHICLE THEFT",10035
"977","Prince George's County",1989,"ROBBERY",3517
"978","Prince George's County",1989,"AGGRAVATED ASSAULT",3468
"979","Prince George's County",1989,"BREAKING & ENTERING",9981
"980","Prince George's County",1989,"MOTOR VEHICLE THEFT",10391
"981","Prince George's County",1990,"ROBBERY",4033
"982","Prince George's County",1990,"AGGRAVATED ASSAULT",3879
"983","Prince George's County",1990,"BREAKING & ENTERING",9989
"984","Prince George's County",1990,"MOTOR VEHICLE THEFT",10199
"985","Prince George's County",1991,"ROBBERY",4227
"986","Prince George's County",1991,"AGGRAVATED ASSAULT",3837
"987","Prince George's County",1991,"BREAKING & ENTERING",9838
"988","Prince George's County",1991,"MOTOR VEHICLE THEFT",9973
"989","Prince George's County",1992,"ROBBERY",3786
"990","Prince George's County",1992,"AGGRAVATED ASSAULT",3917
"991","Prince George's County",1992,"BREAKING & ENTERING",9882
"992","Prince George's County",1992,"MOTOR VEHICLE THEFT",10210
"993","Prince George's County",1993,"ROBBERY",4400
"994","Prince George's County",1993,"AGGRAVATED ASSAULT",3993
"995","Prince George's County",1993,"BREAKING & ENTERING",10323
"996","Prince George's County",1993,"MOTOR VEHICLE THEFT",9344
"997","Prince George's County",1994,"ROBBERY",3984
"998","Prince George's County",1994,"AGGRAVATED ASSAULT",3815
"999","Prince George's County",1994,"BREAKING & ENTERING",10352
"1000","Prince George's County",1994,"MOTOR VEHICLE THEFT",9477
"1001","Prince George's County",1995,"ROBBERY",4403
"1002","Prince George's County",1995,"AGGRAVATED ASSAULT",4031
"1003","Prince George's County",1995,"BREAKING & ENTERING",10231
"1004","Prince George's County",1995,"MOTOR VEHICLE THEFT",10864
"1005","Prince George's County",1996,"ROBBERY",4078
"1006","Prince George's County",1996,"AGGRAVATED ASSAULT",4499
"1007","Prince George's County",1996,"BREAKING & ENTERING",9319
"1008","Prince George's County",1996,"MOTOR VEHICLE THEFT",11644
"1009","Prince George's County",1997,"ROBBERY",3263
"1010","Prince George's County",1997,"AGGRAVATED ASSAULT",3579
"1011","Prince George's County",1997,"BREAKING & ENTERING",9203
"1012","Prince George's County",1997,"MOTOR VEHICLE THEFT",9287
"1013","Prince George's County",1998,"ROBBERY",3146
"1014","Prince George's County",1998,"AGGRAVATED ASSAULT",4310
"1015","Prince George's County",1998,"BREAKING & ENTERING",8913
"1016","Prince George's County",1998,"MOTOR VEHICLE THEFT",9836
"1017","Prince George's County",1999,"ROBBERY",2474
"1018","Prince George's County",1999,"AGGRAVATED ASSAULT",3827
"1019","Prince George's County",1999,"BREAKING & ENTERING",7985
"1020","Prince George's County",1999,"MOTOR VEHICLE THEFT",8619
"1021","Prince George's County",2000,"ROBBERY",2937
"1022","Prince George's County",2000,"AGGRAVATED ASSAULT",4172
"1023","Prince George's County",2000,"BREAKING & ENTERING",7042
"1024","Prince George's County",2000,"MOTOR VEHICLE THEFT",9881
"1025","Prince George's County",2001,"ROBBERY",3916
"1026","Prince George's County",2001,"AGGRAVATED ASSAULT",3974
"1027","Prince George's County",2001,"BREAKING & ENTERING",8914
"1028","Prince George's County",2001,"MOTOR VEHICLE THEFT",13670
"1029","Prince George's County",2002,"ROBBERY",4056
"1030","Prince George's County",2002,"AGGRAVATED ASSAULT",4007
"1031","Prince George's County",2002,"BREAKING & ENTERING",8561
"1032","Prince George's County",2002,"MOTOR VEHICLE THEFT",16991
"1033","Prince George's County",2003,"ROBBERY",4148
"1034","Prince George's County",2003,"AGGRAVATED ASSAULT",3439
"1035","Prince George's County",2003,"BREAKING & ENTERING",8483
"1036","Prince George's County",2003,"MOTOR VEHICLE THEFT",17628
"1037","Prince George's County",2004,"ROBBERY",4100
"1038","Prince George's County",2004,"AGGRAVATED ASSAULT",3649
"1039","Prince George's County",2004,"BREAKING & ENTERING",7460
"1040","Prince George's County",2004,"MOTOR VEHICLE THEFT",18482
"1041","Prince George's County",2005,"ROBBERY",5172
"1042","Prince George's County",2005,"AGGRAVATED ASSAULT",3856
"1043","Prince George's County",2005,"BREAKING & ENTERING",7445
"1044","Prince George's County",2005,"MOTOR VEHICLE THEFT",17242
"1045","Prince George's County",2006,"ROBBERY",4094
"1046","Prince George's County",2006,"AGGRAVATED ASSAULT",3970
"1047","Prince George's County",2006,"BREAKING & ENTERING",6903
"1048","Prince George's County",2006,"MOTOR VEHICLE THEFT",12944
"1049","Prince George's County",2007,"ROBBERY",3831
"1050","Prince George's County",2007,"AGGRAVATED ASSAULT",3276
"1051","Prince George's County",2007,"BREAKING & ENTERING",7188
"1052","Prince George's County",2007,"MOTOR VEHICLE THEFT",11646
"1053","Prince George's County",2008,"ROBBERY",3765
"1054","Prince George's County",2008,"AGGRAVATED ASSAULT",3263
"1055","Prince George's County",2008,"BREAKING & ENTERING",8209
"1056","Prince George's County",2008,"MOTOR VEHICLE THEFT",9743
"1057","Prince George's County",2009,"ROBBERY",3324
"1058","Prince George's County",2009,"AGGRAVATED ASSAULT",2980
"1059","Prince George's County",2009,"BREAKING & ENTERING",8219
"1060","Prince George's County",2009,"MOTOR VEHICLE THEFT",7266
"1061","Prince George's County",2010,"ROBBERY",3126
"1062","Prince George's County",2010,"AGGRAVATED ASSAULT",2781
"1063","Prince George's County",2010,"BREAKING & ENTERING",8055
"1064","Prince George's County",2010,"MOTOR VEHICLE THEFT",6700
"1065","Prince George's County",2011,"ROBBERY",2545
"1066","Prince George's County",2011,"AGGRAVATED ASSAULT",2346
"1067","Prince George's County",2011,"BREAKING & ENTERING",6985
"1068","Prince George's County",2011,"MOTOR VEHICLE THEFT",5943
"1069","Prince George's County",2012,"ROBBERY",2450
"1070","Prince George's County",2012,"AGGRAVATED ASSAULT",2260
"1071","Prince George's County",2012,"BREAKING & ENTERING",6046
"1072","Prince George's County",2012,"MOTOR VEHICLE THEFT",5092
"1073","Prince George's County",2013,"ROBBERY",2012
"1074","Prince George's County",2013,"AGGRAVATED ASSAULT",2246
"1075","Prince George's County",2013,"BREAKING & ENTERING",5733
"1076","Prince George's County",2013,"MOTOR VEHICLE THEFT",4293
"1077","Prince George's County",2014,"ROBBERY",1846
"1078","Prince George's County",2014,"AGGRAVATED ASSAULT",2020
"1079","Prince George's County",2014,"BREAKING & ENTERING",4767
"1080","Prince George's County",2014,"MOTOR VEHICLE THEFT",4278
"1081","Prince George's County",2015,"ROBBERY",1704
"1082","Prince George's County",2015,"AGGRAVATED ASSAULT",2079
"1083","Prince George's County",2015,"BREAKING & ENTERING",3667
"1084","Prince George's County",2015,"MOTOR VEHICLE THEFT",3431
"1085","Prince George's County",2016,"ROBBERY",1534
"1086","Prince George's County",2016,"AGGRAVATED ASSAULT",1620
"1087","Prince George's County",2016,"BREAKING & ENTERING",2951
"1088","Prince George's County",2016,"MOTOR VEHICLE THEFT",3371
"1089","Prince George's County",2017,"ROBBERY",1252
"1090","Prince George's County",2017,"AGGRAVATED ASSAULT",1486
"1091","Prince George's County",2017,"BREAKING & ENTERING",2715
"1092","Prince George's County",2017,"MOTOR VEHICLE THEFT",3154
"1093","Prince George's County",2018,"ROBBERY",1163
"1094","Prince George's County",2018,"AGGRAVATED ASSAULT",1315
"1095","Prince George's County",2018,"BREAKING & ENTERING",2364
"1096","Prince George's County",2018,"MOTOR VEHICLE THEFT",2910
"1097","Prince George's County",2019,"ROBBERY",1211
"1098","Prince George's County",2019,"AGGRAVATED ASSAULT",1341
"1099","Prince George's County",2019,"BREAKING & ENTERING",1696
"1100","Prince George's County",2019,"MOTOR VEHICLE THEFT",2714
"1101","Prince George's County",2020,"ROBBERY",1299
"1102","Prince George's County",2020,"AGGRAVATED ASSAULT",1519
"1103","Prince George's County",2020,"BREAKING & ENTERING",1715
"1104","Prince George's County",2020,"MOTOR VEHICLE THEFT",2961
